Genetic Feature,Recurrent Gain Loss,Genes in Segment
CDC27_mut,,CDC27
CDC73_mut,,CDC73
CDH1_mut,,CDH1
CDK12_mut,,CDK12
CDKN1A_mut,,CDKN1A
CDKN1B_mut,,CDKN1B
CDKN2A_mut,,CDKN2A
CEP290_mut,,CEP290
CHD3_mut,,CHD3
CHD4_mut,,CHD4
CHD6_mut,,CHD6
CHD8_mut,,CHD8
CHD9_mut,,CHD9
CHEK2_mut,,CHEK2
CIC_mut,,CIC
CLASP2_mut,,CLASP2
CLOCK_mut,,CLOCK
CLSPN_mut,,CLSPN
CNOT1_mut,,CNOT1
CNOT3_mut,,CNOT3
COL1A1_mut,,COL1A1
CREBBP_mut,,CREBBP
CSDE1_mut,,CSDE1
CTCF_mut,,CTCF
CTNNB1_mut,,CTNNB1
CTNND1_mut,,CTNND1
CUL2_mut,,CUL2
CUL3_mut,,CUL3
CUX1_mut,,CUX1
CYLD_mut,,CYLD
DDX3X_mut,,DDX3X
DDX5_mut,,DDX5
DHX15_mut,,DHX15
DHX9_mut,,DHX9
DICER1_mut,,DICER1
DLG1_mut,,DLG1
DNMT3A_mut,,DNMT3A
EGFR_mut,,EGFR
EIF4A2_mut,,EIF4A2
EIF4G1_mut,,EIF4G1
EIF4G3_mut,,EIF4G3
ELF1_mut,,ELF1
ELF3_mut,,ELF3
EP300_mut,,EP300
EPHA2_mut,,EPHA2
EPHA4_mut,,EPHA4
ERBB2_mut,,ERBB2
ERBB2IP_mut,,ERBB2IP
ERBB3_mut,,ERBB3
ETV6.RUNX1_mut,,ETV6.RUNX1
EWSR1.ERG_mut,,EWSR1.ERG
EWSR1.FLI1_mut,,EWSR1.FLI1
EWSR1.X_mut,,EWSR1.X
EZH2_mut,,EZH2
F8_mut,,F8
FAF1_mut,,FAF1
FAM123B_mut,,FAM123B
FAT1_mut,,FAT1
FAT2_mut,,FAT2
FBXW7_mut,,FBXW7
FGFR2_mut,,FGFR2
FIP1L1_mut,,FIP1L1
FLT3_mut,,FLT3
FN1_mut,,FN1
FOXP1_mut,,FOXP1
FRG1B_mut,,FRG1B
